substrate,candidate_id,seed,run_kind,perturb_scale,perturb_family,motif_index,release_duty_fraction,release_strength_max,release_pressure_max,carrier_residual_final,residual_delta_max,post_event_residual_delta_max,pressure_to_post_delta_ratio
gen004_candidate013,gen004_candidate013,94,perturbed,0.35,basis,0,0.8671875,0.040684495121240616,4.200167179107666,11.09390640258789,0.20842720836068082,0.1014711298211608,41.39273098181038
gen004_candidate013,gen004_candidate013,94,perturbed,0.35,basis,1,0.8671875,0.040684495121240616,4.200613975524902,11.089597702026367,0.20842720836068082,0.09355252723937339,44.901127735189526
gen004_candidate013,gen004_candidate013,94,perturbed,0.35,basis,2,0.8671875,0.040684495121240616,4.202376842498779,11.089773178100586,0.20842720836068082,0.09443117312699212,44.5020082176399
gen004_candidate013,gen004_candidate013,94,perturbed,0.35,basis,3,0.8671875,0.040684495121240616,4.202821731567383,11.08779239654541,0.20842720836068082,0.09564552919971225,43.941643344266495
gen004_candidate017,gen004_candidate017,94,perturbed,0.35,basis,0,0.9375,0.07097849994897842,2.2506842613220215,6.082653999328613,0.1851509579943877,0.15140223783421375,14.865594416025294
gen004_candidate017,gen004_candidate017,94,perturbed,0.35,basis,1,0.9375,0.07226435095071793,2.252915859222412,6.136048316955566,0.1851509579943877,0.15257859852300132,14.765608552124586
gen004_candidate017,gen004_candidate017,94,perturbed,0.35,basis,2,0.9375,0.07221928983926773,2.2542307376861572,6.087222099304199,0.1851509579943877,0.15222148827556853,14.808886466838993
gen004_candidate017,gen004_candidate017,94,perturbed,0.35,basis,3,0.9375,0.071506567299366,2.2494120597839355,6.062857627868652,0.1851509579943877,0.15289345655480197,14.712284688113343
gen007_candidate019,gen007_candidate019,94,perturbed,0.35,basis,0,0.96875,0.04256344214081764,2.2190072536468506,7.535503387451172,0.17893183224839293,0.1063087767033776,20.873227239161235
gen007_candidate019,gen007_candidate019,94,perturbed,0.35,basis,1,0.96875,0.04256344214081764,2.22320556640625,7.551207542419434,0.17893183224839293,0.10705420693956552,20.767101358859247
gen007_candidate019,gen007_candidate019,94,perturbed,0.35,basis,2,0.96875,0.04256344214081764,2.223052501678467,7.551050662994385,0.17893183224839293,0.1268473363777971,17.52541728631506
gen007_candidate019,gen007_candidate019,94,perturbed,0.35,basis,3,0.9609375,0.04256344214081764,2.225087881088257,7.55456018447876,0.17893183224839293,0.113634478493738,19.581098189409772
