substrate,candidate_id,seed,run_kind,perturb_scale,perturb_family,motif_index,release_duty_fraction,release_strength_max,release_pressure_max,carrier_residual_final,residual_delta_max,post_event_residual_delta_max,pressure_to_post_delta_ratio
gen011_candidate005,gen011_candidate005,94,perturbed,0.35,basis,0,0.21875,0.18348954617977142,10.705893516540527,46.83249282836914,0.12043109898596951,0.0431795606095456,247.93891752047614
gen011_candidate005,gen011_candidate005,94,perturbed,0.35,basis,1,0.234375,0.18352057039737701,10.707444190979004,46.839420318603516,0.12082666426985098,0.04698795626571568,227.8763547498998
gen011_candidate005,gen011_candidate005,94,perturbed,0.35,basis,2,0.234375,0.18344274163246155,10.704508781433105,46.82658004760742,0.12054415240064184,0.037204060448296966,287.7242067787015
gen011_candidate005,gen011_candidate005,94,perturbed,0.35,basis,3,0.21875,0.18341907858848572,10.704849243164062,46.82672882080078,0.1203936984051793,0.03726970309094772,287.22657696095564
gen013_candidate005,gen013_candidate005,94,perturbed,0.35,basis,0,0.171875,0.19061489403247833,6.6366167068481445,27.500865936279297,0.17072337040599467,0.05570460023011162,119.13947285202241
gen013_candidate005,gen013_candidate005,94,perturbed,0.35,basis,1,0.171875,0.1899794191122055,6.630407333374023,27.457530975341797,0.17071527951912885,0.058941429479574564,112.49145790859569
gen013_candidate005,gen013_candidate005,94,perturbed,0.35,basis,2,0.171875,0.18934151530265808,6.626873970031738,27.44171714782715,0.17047793061540223,0.051956712849287975,127.54605914455102
gen013_candidate005,gen013_candidate005,94,perturbed,0.35,basis,3,0.171875,0.18897904455661774,6.624819755554199,27.400442123413086,0.1706225810724663,0.052826531854351065,125.40705442900554
gen014_candidate006,gen014_candidate006,94,perturbed,0.35,basis,0,0.328125,0.19786177575588226,7.828904628753662,32.72454071044922,0.1053810152420563,0.04332924505824985,180.68407649911373
gen014_candidate006,gen014_candidate006,94,perturbed,0.35,basis,1,0.328125,0.19769008457660675,7.831132411956787,32.735721588134766,0.10391488570823594,0.04638048882980662,168.84540481436403
gen014_candidate006,gen014_candidate006,94,perturbed,0.35,basis,2,0.328125,0.19767235219478607,7.830794811248779,32.734375,0.10486299164794272,0.037255832999177764,210.1897657588707
gen014_candidate006,gen014_candidate006,94,perturbed,0.35,basis,3,0.328125,0.19765770435333252,7.829338550567627,32.72700500488281,0.10528452077027776,0.03587012566412883,218.2690583210639
gen018_candidate003,gen018_candidate003,94,perturbed,0.35,basis,0,0.234375,0.21280938386917114,7.534799575805664,30.833269119262695,0.15787667240721087,0.054093929739951696,139.29103712797465
gen018_candidate003,gen018_candidate003,94,perturbed,0.35,basis,1,0.234375,0.21246300637722015,7.528999328613281,30.79107093811035,0.15688420650733456,0.05760189495002299,130.7074938271675
gen018_candidate003,gen018_candidate003,94,perturbed,0.35,basis,2,0.234375,0.2126469612121582,7.5265583992004395,30.778974533081055,0.15862540186109808,0.050051762203722,150.3754926463057
gen018_candidate003,gen018_candidate003,94,perturbed,0.35,basis,3,0.234375,0.21271423995494843,7.520781993865967,30.71851921081543,0.15986060653369583,0.05076099839630633,148.1606396932733
